center,steering,throttle,speed,cte
/Users/brianpulfer/Desktop/dataset/IMG/center_00000000.jpg,0,0,0.0004441151,0
/Users/brianpulfer/Desktop/dataset/IMG/center_00000001.jpg,0,0,0.0004383583,0
/Users/brianpulfer/Desktop/dataset/IMG/center_00000002.jpg,0,0,0.0004099185,0
/Users/brianpulfer/Desktop/dataset/IMG/center_00000003.jpg,0,0,0.000327397,0
/Users/brianpulfer/Desktop/dataset/IMG/center_00000004.jpg,0,0,0.0002764832,0
/Users/brianpulfer/Desktop/dataset/IMG/center_00000005.jpg,0,0,0.0002215466,0
/Users/brianpulfer/Desktop/dataset/IMG/center_00000006.jpg,0,0,0.000163551,0
/Users/brianpulfer/Desktop/dataset/IMG/center_00000007.jpg,0,0,0.0001049339,0
/Users/brianpulfer/Desktop/dataset/IMG/center_00000008.jpg,0,0,2.470199E-05,0
/Users/brianpulfer/Desktop/dataset/IMG/center_00000009.jpg,0,0,7.124722E-05,0
/Users/brianpulfer/Desktop/dataset/IMG/center_00000010.jpg,0,0,0.0001201771,0
/Users/brianpulfer/Desktop/dataset/IMG/center_00000011.jpg,0,0,0.0001643949,0
/Users/brianpulfer/Desktop/dataset/IMG/center_00000012.jpg,0,0.08398161,0.02001065,0
/Users/brianpulfer/Desktop/dataset/IMG/center_00000013.jpg,0,0.142888,0.004003876,0
/Users/brianpulfer/Desktop/dataset/IMG/center_00000014.jpg,0,0.2137994,0.01867728,0
/Users/brianpulfer/Desktop/dataset/IMG/center_00000015.jpg,0,0.285827,0.03268013,0
/Users/brianpulfer/Desktop/dataset/IMG/center_00000016.jpg,0,0.3574352,0.04408999,0
/Users/brianpulfer/Desktop/dataset/IMG/center_00000017.jpg,0,0.4283859,0.05829662,0
/Users/brianpulfer/Desktop/dataset/IMG/center_00000018.jpg,0,0.5026808,0.1136216,0
/Users/brianpulfer/Desktop/dataset/IMG/center_00000019.jpg,0,0.5764769,0.1417207,0
/Users/brianpulfer/Desktop/dataset/IMG/center_00000020.jpg,0,0.6532969,0.1583778,0.05192626
/Users/brianpulfer/Desktop/dataset/IMG/center_00000021.jpg,0,0.729382,0.2304117,0.05188999
/Users/brianpulfer/Desktop/dataset/IMG/center_00000022.jpg,0,0.8030256,0.2920472,0.05189011
/Users/brianpulfer/Desktop/dataset/IMG/center_00000023.jpg,0,0.8766476,0.3210569,0.05185197
/Users/brianpulfer/Desktop/dataset/IMG/center_00000024.jpg,0,0.9505683,0.3716052,0.0517945
/Users/brianpulfer/Desktop/dataset/IMG/center_00000025.jpg,0,1,0.4233038,0.05182
/Users/brianpulfer/Desktop/dataset/IMG/center_00000026.jpg,0,1,0.5182804,0.05173359
/Users/brianpulfer/Desktop/dataset/IMG/center_00000027.jpg,0,1,0.5834122,0.05170753
/Users/brianpulfer/Desktop/dataset/IMG/center_00000028.jpg,0,1,0.6395575,0.05157963
/Users/brianpulfer/Desktop/dataset/IMG/center_00000029.jpg,0,1,0.6864415,0.05149771
/Users/brianpulfer/Desktop/dataset/IMG/center_00000030.jpg,0,1,0.754445,0.05147437
/Users/brianpulfer/Desktop/dataset/IMG/center_00000031.jpg,0,1,0.8714279,0.05133455
