center,steering,throttle,speed,cte
/Users/brianpulfer/Desktop/trainA/IMG/center_00000000.jpg,0,0,0.01009147,0
/Users/brianpulfer/Desktop/trainA/IMG/center_00000001.jpg,0,0,0.005069295,0
/Users/brianpulfer/Desktop/trainA/IMG/center_00000002.jpg,0,0,0.005069295,0
/Users/brianpulfer/Desktop/trainA/IMG/center_00000003.jpg,0,0,0.003657166,0
/Users/brianpulfer/Desktop/trainA/IMG/center_00000004.jpg,0,0.07227739,0.02049009,0
/Users/brianpulfer/Desktop/trainA/IMG/center_00000005.jpg,0,0.07227739,0.02049009,0
/Users/brianpulfer/Desktop/trainA/IMG/center_00000006.jpg,0,0.1515226,0.005719204,0
/Users/brianpulfer/Desktop/trainA/IMG/center_00000007.jpg,0,0.2004742,0.01711962,0
/Users/brianpulfer/Desktop/trainA/IMG/center_00000008.jpg,0,0.2004742,0.01711962,0
/Users/brianpulfer/Desktop/trainA/IMG/center_00000009.jpg,0,0.300631,0.02436215,0
/Users/brianpulfer/Desktop/trainA/IMG/center_00000010.jpg,0,0.3505651,0.04295512,0
/Users/brianpulfer/Desktop/trainA/IMG/center_00000011.jpg,0,0.398923,0.05724501,0
/Users/brianpulfer/Desktop/trainA/IMG/center_00000012.jpg,0,0.4516109,0.0869155,0
/Users/brianpulfer/Desktop/trainA/IMG/center_00000013.jpg,0,0.497344,0.1121902,0
/Users/brianpulfer/Desktop/trainA/IMG/center_00000014.jpg,0,0.497344,0.1121902,0
/Users/brianpulfer/Desktop/trainA/IMG/center_00000015.jpg,0,0.5999118,0.1235835,0
/Users/brianpulfer/Desktop/trainA/IMG/center_00000016.jpg,0,0.647361,0.1575546,0.05200919
/Users/brianpulfer/Desktop/trainA/IMG/center_00000017.jpg,0,0.7004895,0.1828463,0.05193349
/Users/brianpulfer/Desktop/trainA/IMG/center_00000018.jpg,0,0.7509249,0.2277326,0.05188748
/Users/brianpulfer/Desktop/trainA/IMG/center_00000019.jpg,0,0.8072386,0.2725381,0.05186537
